time,a,b,c,d,e
2019-10-10 15:00:00,2.5079956,0.34673417,0.022131994,0.043400355,1.5821272
2019-10-10 18:00:00,2.726193,0.28362483,0.042228047,0.060538124,1.5832764
2019-10-10 21:00:00,2.0599616,0.6311609,0.034596276,0.06796026,1.1538802
2019-10-11 00:00:00,2.5605135,0.3174464,0.04386393,0.08199462,1.1418331
2019-10-11 03:00:00,2.5137982,0.40656853,0.055642918,0.07409513,1.0860991
2019-10-11 06:00:00,2.2138135,0.17827722,0.037001092,0.055227593,0.9630855
2019-10-11 09:00:00,1.7755353,0.14460953,0.04142674,0.06621873,1.0106936
2019-10-11 12:00:00,2.3786857,0.16446419,0.030762741,0.054855604,1.079122
2019-10-11 15:00:00,3.1352758,0.18659267,0.03749753,0.055228196,1.2411939
2019-10-11 18:00:00,3.8724344,0.18468125,0.035941504,0.057762828,1.2916309
2019-10-11 21:00:00,3.1369526,0.17891279,0.038114678,0.05343888,1.149486
2019-10-12 00:00:00,2.4995036,0.16233382,0.02937218,0.05489616,1.1180916
2019-10-12 03:00:00,2.654847,0.17265761,0.03367804,0.054498013,1.0778326
2019-10-12 06:00:00,2.8195922,0.2199067,0.03893745,0.04974805,0.9678888
2019-10-12 09:00:00,2.7935777,0.20995264,0.04158177,0.05378124,0.9625529
2019-10-12 12:00:00,2.8089354,0.16649099,0.029503595,0.051007576,0.9714244
2019-10-12 15:00:00,3.1986763,0.1679199,0.031490218,0.051062547,1.0584207
2019-10-12 18:00:00,2.3732843,0.348981,0.024706786,0.06467125,0.8857483
2019-10-12 21:00:00,2.9626892,0.6432409,0.047394056,0.09930377,1.1660503
2019-10-13 00:00:00,2.9783447,0.3117333,0.06853002,0.13785231,1.0494841
2019-10-13 03:00:00,2.6731126,0.39538792,0.054894064,0.088888265,1.0879447
2019-10-13 06:00:00,2.111716,0.4024103,0.05156589,0.07314301,1.3395615
2019-10-13 09:00:00,3.3379393,0.31296548,0.034200605,0.053321943,1.3126802
2019-10-13 12:00:00,3.4770913,0.3069837,0.03920569,0.0908833,1.1478981
2019-10-13 15:00:00,2.0489652,0.24481562,0.06869623,0.28900462,0.7239987
2019-10-13 18:00:00,1.9314595,0.24981299,0.084383085,0.38885954,0.56032646
2019-10-13 21:00:00,2.0316243,0.2767372,0.08324637,0.35866645,0.5669221
2019-10-14 00:00:00,2.1913311,0.26020104,0.07670864,0.13915467,0.76524377
2019-10-14 03:00:00,2.4525464,0.20269683,0.056031596,0.136513,1.1989093
2019-10-14 06:00:00,2.009925,0.19102255,0.054976605,0.12029875,0.72136676
2019-10-14 09:00:00,2.0295393,0.17719184,0.03291296,0.06450352,0.7840943
2019-10-14 12:00:00,2.9915278,0.22502325,0.032352384,0.039636396,0.7209685
2019-10-14 15:00:00,3.279813,0.20537625,0.026536513,0.041903857,0.681211
2019-10-14 18:00:00,3.3970106,0.1916584,0.02782832,0.055585895,0.71793103
2019-10-14 21:00:00,4.0152273,0.21910933,0.031143136,0.05123097,0.745499
2019-10-15 00:00:00,4.1629777,0.24113426,0.031354394,0.04653814,0.76388764
2019-10-15 03:00:00,4.5135117,0.23786908,0.03235339,0.042087145,0.82063216
2019-10-15 06:00:00,5.026626,0.22825187,0.031360358,0.040983964,0.9071102
2019-10-15 09:00:00,5.524547,0.22265853,0.030034807,0.0418845,0.93512547
2019-10-15 12:00:00,5.5856028,0.21378505,0.03073396,0.047851156,0.89993113
