time,a,b,c,d,e,f,g,h,i
2019-10-02 00:00:00,2.4174438,0.57586676,0.47203675,0.017572965,0.033552133,0.027589243,0.047376618,0.065101065,0.06826023
2019-10-02 03:00:00,2.4285512,0.5224563,0.44856846,0.019661978,0.037066773,0.029055417,0.05143386,0.067984246,0.0779472
2019-10-02 06:00:00,3.0447602,0.5402226,0.44281965,0.017155774,0.033541262,0.025720747,0.046991047,0.0628594,0.06848747
2019-10-02 09:00:00,4.2730846,0.57886773,0.50296533,0.017308427,0.034284696,0.02571373,0.04948954,0.06409964,0.06897813
2019-10-02 12:00:00,4.989652,0.5221937,0.50373936,0.017815983,0.036566682,0.02680187,0.0477295,0.062082842,0.0710117
2019-10-02 15:00:00,4.8404994,0.52458745,0.4753455,0.017662255,0.039824747,0.02739361,0.047497254,0.05901433,0.07253669
2019-10-02 18:00:00,4.323091,0.4841934,0.4426566,0.0189108,0.04251639,0.027622847,0.045094315,0.058250353,0.078619465
2019-10-02 21:00:00,3.8482563,0.4204281,0.40967625,0.019709291,0.052312892,0.030149508,0.044368945,0.054513685,0.08518928
2019-10-03 00:00:00,3.3615308,0.37449577,0.38736576,0.02840863,0.12448947,0.036883123,0.043584783,0.053952787,0.0948428
2019-10-03 03:00:00,2.8216467,0.69601154,0.73125625,0.043977253,0.110459745,0.046346754,0.08379012,0.10249829,0.1243863
2019-10-03 06:00:00,2.3165543,1.3316993,1.0244455,0.047206312,0.072918415,0.050961886,0.12770888,0.1648065,0.09612756
2019-10-03 09:00:00,2.5677357,1.2991008,1.0626782,0.04377705,0.06488557,0.07269082,0.113160156,0.16289581,0.06668364
2019-10-03 12:00:00,2.9590445,1.410432,1.412344,0.04551273,0.06380848,0.07915117,0.12351963,0.18194883,0.056959707
2019-10-03 15:00:00,2.6089618,1.5964772,1.3083667,0.046013378,0.07563178,0.098979026,0.11562468,0.17639764,0.061946213
2019-10-03 18:00:00,2.1907082,1.5322325,1.1435412,0.058806952,0.08946301,0.12860405,0.09803883,0.15197201,0.07991792
2019-10-03 21:00:00,2.0201187,1.2502105,0.8388276,0.06973589,0.115425825,0.14313151,0.07654634,0.10939663,0.10018052
2019-10-04 00:00:00,2.38881,0.97891724,0.5382967,0.06903496,0.119397745,0.07163949,0.40547332,0.08916915,0.087253064
2019-10-04 03:00:00,1.7331468,0.41818935,0.19966072,0.11956285,0.03145051,0.025600603,1.129664,0.17193204,0.06514925
2019-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-04 09:00:00,1.0052413,0.08999973,0.020982893,0.13593422,0.0105496915,0.011717205,0.6186388,0.09235651,0.013105052
2019-10-04 12:00:00,2.083077,0.19138561,0.031663552,0.119333185,0.012512164,0.015947612,1.3371902,0.16055842,0.019353708
2019-10-04 15:00:00,1.9736955,0.027672593,0.034665436,0.096757114,0.0128397355,0.02265778,0.60795885,0.8118018,0.054124262
2019-10-04 18:00:00,2.0299613,0.024353795,0.03192351,0.09706781,0.014892518,0.024622997,0.87137896,0.6185049,0.037570003
2019-10-04 21:00:00,2.3857203,0.029589748,0.040528506,0.10991008,0.020206692,0.02551276,1.023285,0.4548638,0.029640703
2019-10-05 00:00:00,2.2809942,0.034391683,0.051892396,0.10928492,0.025023084,0.024461363,0.9066186,0.34734374,0.027469598
2019-10-05 03:00:00,1.9832636,0.02842522,0.04160419,0.08179223,0.021407232,0.021947647,0.64913094,0.31531468,0.030937577
2019-10-05 06:00:00,1.7572892,0.024912164,0.051540915,0.096671365,0.018238924,0.022246784,0.6910242,0.29748127,0.035875164
2019-10-05 09:00:00,1.5597776,0.023993453,0.19830413,0.27739504,0.014732102,0.019297661,1.2396319,0.22363974,0.020802293
2019-10-05 12:00:00,1.4179546,0.018124854,0.68250805,0.24903549,0.01108861,0.017750697,1.0178428,0.21291094,0.0284422
2019-10-05 15:00:00,1.8692855,0.015993524,1.3359575,0.21549313,0.01056072,0.016845658,0.8925118,0.21984723,0.0336306
2019-10-05 18:00:00,1.2845958,0.013492612,1.5917226,0.12447824,0.011373015,0.017390525,0.57114446,0.33872643,0.041838504
2019-10-05 21:00:00,0.8619858,0.012293998,1.9331874,0.07117088,0.010389997,0.016575862,0.3964486,0.4448602,0.049580123
2019-10-06 00:00:00,1.1453601,0.012290502,2.4171817,0.094978824,0.010753325,0.016316185,0.44051105,0.36887085,0.04551647
2019-10-06 03:00:00,2.1115193,0.018108161,2.2249925,0.17852327,0.012337656,0.017511733,0.79381055,0.23185426,0.03456086
2019-10-06 06:00:00,3.5247076,0.02564722,1.4313458,0.15154795,0.015727371,0.019393122,0.85424227,0.22887585,0.025050089
2019-10-06 09:00:00,3.5078356,0.023706846,1.9737478,0.16996467,0.014554385,0.01846441,0.9003305,0.21266575,0.024426699
2019-10-06 12:00:00,2.1564202,0.020333052,3.366559,0.2053757,0.012038371,0.017408272,0.9934401,0.19255123,0.024780218
2019-10-06 15:00:00,1.6860186,0.021396864,3.4460762,0.17370489,0.012836134,0.018671144,0.9397213,0.22048545,0.025883233
2019-10-06 18:00:00,2.5042272,0.024166089,3.7419727,0.119909644,0.01501468,0.019173842,0.81026894,0.26640004,0.026375372
2019-10-06 21:00:00,3.0457265,0.023872865,3.531156,0.111826465,0.013904491,0.01880416,0.7147483,0.2869641,0.025322152
2019-10-07 00:00:00,2.1345193,0.021605808,3.4726338,0.13035609,0.008752834,0.014925453,0.65975714,0.2542553,0.023139596
2019-10-07 03:00:00,2.3685153,0.026908163,3.520873,0.09683279,0.010863488,0.017084409,0.6160141,0.2848402,0.026255812
2019-10-07 06:00:00,2.320966,0.21982273,3.501642,0.0835832,0.012130452,0.017895246,0.64022493,0.30450046,0.027866872
2019-10-07 09:00:00,1.5154544,1.335942,1.2235377,0.11757295,0.009215129,0.015308545,0.6789908,0.20883305,0.02232525
2019-10-07 12:00:00,0.8733106,1.5563328,0.44429892,0.10575248,0.01917911,0.02239065,0.35982376,0.14868899,0.028889563
2019-10-07 15:00:00,0.7450496,1.2651445,0.5094809,0.09628075,0.017692633,0.01948026,0.35592732,0.32558018,0.084672086
2019-10-07 18:00:00,0.67534626,1.3832848,0.7179282,0.083408095,0.034456626,0.04112998,0.2111643,0.25181913,0.23470916
2019-10-07 21:00:00,0.63591653,1.0421842,1.120483,0.058659546,0.041300237,0.06731868,0.16405205,0.353266,0.25077572
2019-10-08 00:00:00,0.52590764,0.76581866,0.9966647,0.048575882,0.04688868,0.06842798,0.14189592,0.24327546,0.24754833
2019-10-08 03:00:00,0.39730626,0.84440506,1.0307217,0.055344306,0.057771333,0.11864228,0.11961233,0.28966263,0.18381532
2019-10-08 06:00:00,0.24612774,1.1098185,0.6116779,0.08552554,0.045357537,0.23575716,0.09585097,0.1416268,0.10764146
2019-10-08 09:00:00,0.09320715,0.5725782,0.08971814,1.1315882,0.060584776,0.29915592,0.038436685,0.016538141,0.02045336
2019-10-08 12:00:00,0.24849364,0.36636493,0.034975823,1.6132573,0.07634267,0.3131042,0.030801129,0.0088891275,0.019904548
2019-10-08 15:00:00,0.6971896,0.66859823,0.11811503,0.92982185,0.07146824,0.37847733,0.079313576,0.02324304,0.022389386
2019-10-08 18:00:00,0.75560856,0.8170767,0.31106487,0.10668947,0.049421385,0.38806367,0.08170161,0.07281652,0.028814828
2019-10-08 21:00:00,0.68608654,0.66353357,0.25960338,0.23288466,0.042605452,0.27516288,0.088721946,0.06047851,0.028193966
2019-10-09 00:00:00,0.92998713,0.7141413,0.22645709,0.7116226,0.046081085,0.26913518,0.119997,0.04822391,0.026078623
2019-10-09 03:00:00,1.2519958,0.81811786,0.113225274,1.4125254,0.03250159,0.15610203,0.24153312,0.021499699,0.016483167
2019-10-09 06:00:00,1.3145007,0.3272986,0.02586094,1.0929496,0.04004195,0.1267758,0.4508815,0.006517792,0.013541973
2019-10-09 09:00:00,1.4109899,0.36298525,0.021584202,0.96614695,0.027172089,0.081645966,0.8868746,0.010347599,0.011210209
2019-10-09 12:00:00,1.6245484,0.5561536,0.01843349,0.5207994,0.01724552,0.049430728,1.3479093,0.028718574,0.010235865
2019-10-09 15:00:00,1.6783167,0.533719,0.018382618,0.59911025,0.017905008,0.048304144,1.2789205,0.02933578,0.010138397
2019-10-09 18:00:00,1.5356913,0.3325315,0.024753751,1.1863184,0.036355603,0.111095935,0.5758344,0.007876806,0.013052587
2019-10-09 21:00:00,2.2294044,0.622069,0.09135271,1.1487433,0.0275511,0.090644024,0.3060911,0.026914217,0.01693404
2019-10-10 00:00:00,2.0619528,0.22661507,0.019699013,0.3308947,0.010239259,0.023250962,1.4061422,0.072533876,0.010929116
2019-10-10 03:00:00,2.0438278,0.21823868,0.027119007,0.18591207,0.014234138,0.01688954,1.2895757,0.16318807,0.017380236
2019-10-10 06:00:00,1.8416827,0.26107034,0.02333806,0.21204592,0.011269772,0.015421237,1.4118052,0.118578285,0.013401409
2019-10-10 09:00:00,1.8933672,0.76272213,0.0791521,0.34059852,0.02887143,0.02070445,0.8501849,0.1450636,0.01593103
2019-10-10 12:00:00,1.6692384,0.7323808,0.06572293,0.36027527,0.026524931,0.018328046,0.89394385,0.12633991,0.014909824
2019-10-10 15:00:00,2.278888,0.32391465,0.025145764,0.23454832,0.008942904,0.014064147,1.5147297,0.09021023,0.011945862
2019-10-10 18:00:00,1.7969198,0.90956265,0.19012074,0.1697373,0.017709833,0.025568197,1.3910453,0.17739561,0.017799862
2019-10-10 21:00:00,0.4533314,1.8873426,0.14514466,0.15093447,0.013136794,0.026361365,1.0761,0.17929912,0.015908958
