time,a,b,c,d,e,f
2019-10-06 09:00:00,5.4724827,0.18813004,0.028822262,0.02290499,0.9969839,0.13637534
2019-10-06 12:00:00,5.5201993,0.22711034,0.023369307,0.021116842,1.0631915,0.13391522
2019-10-06 15:00:00,5.1272755,0.19263512,0.024564765,0.022669151,1.0318195,0.1458267
2019-10-06 18:00:00,6.235026,0.13384707,0.029737305,0.023849066,0.94909346,0.15595248
2019-10-06 21:00:00,6.5747023,0.12688293,0.027608141,0.023094527,0.8411517,0.17888723
2019-10-07 00:00:00,5.614018,0.14768848,0.016987406,0.018155172,0.7529287,0.17017554
2019-10-07 03:00:00,5.8984632,0.11139913,0.020931544,0.021049574,0.727728,0.18861498
2019-10-07 06:00:00,6.022223,0.09735734,0.023112116,0.021941764,0.76426566,0.19973107
2019-10-07 09:00:00,4.0532174,0.1359246,0.018568339,0.018915048,0.7596035,0.14095068
2019-10-07 12:00:00,2.8250644,0.13158585,0.04298315,0.0290864,0.41025975,0.11968778
2019-10-07 15:00:00,2.472431,0.11154118,0.04327196,0.028607434,0.40326178,0.36019513
2019-10-07 18:00:00,2.44192,0.10784471,0.12299917,0.26955518,0.22591648,0.46501118
2019-10-07 21:00:00,2.0561352,0.07166555,0.37695676,0.45141575,0.18346117,0.5943192
2019-10-08 00:00:00,1.5485129,0.057608023,0.41935897,0.42680216,0.16274987,0.46997073
2019-10-08 03:00:00,1.2382722,0.06586976,0.6143758,0.6016666,0.13858867,0.43850797
2019-10-08 06:00:00,1.1054844,0.10144361,0.33057198,0.80808103,0.10634078,0.22746249
2019-10-08 09:00:00,0.5620046,1.2359864,0.0800591,0.3897749,0.0265028,0.027933298
2019-10-08 12:00:00,0.55485445,1.6887857,0.073579505,0.35929894,0.016582733,0.019032137
2019-10-08 15:00:00,1.0868013,1.2237569,0.1175968,0.4702812,0.055001102,0.035178345
2019-10-08 18:00:00,1.240243,0.2060953,0.18610694,0.8018726,0.088730976,0.088209815
2019-10-08 21:00:00,1.127887,0.3429295,0.14015993,0.5623636,0.08767037,0.076260515
2019-10-09 00:00:00,1.3094418,0.9920095,0.15207219,0.48278233,0.09299409,0.062424626
2019-10-09 03:00:00,1.5254247,2.013184,0.092886746,0.25553146,0.14758065,0.029377157
2019-10-09 06:00:00,1.4481909,1.4049517,0.04992112,0.14683622,0.33531445,0.013154785
2019-10-09 09:00:00,1.5866029,1.2531105,0.03644938,0.095907964,0.79251176,0.014374366
2019-10-09 12:00:00,1.9593285,0.80083364,0.026680006,0.059161462,1.3077234,0.01974811
2019-10-09 15:00:00,1.9920048,0.8804849,0.026857316,0.057858977,1.2366992,0.02022701
2019-10-09 18:00:00,1.6844916,1.4760683,0.04619818,0.12903067,0.47393027,0.013791229
2019-10-09 21:00:00,2.565345,1.4744587,0.056435674,0.20761041,0.22080964,0.03504395
2019-10-10 00:00:00,2.2152998,0.4480661,0.018898552,0.03714892,1.4001881,0.04265513
2019-10-10 03:00:00,2.2040677,0.27910304,0.029761616,0.023756944,1.3668337,0.07284063
2019-10-10 06:00:00,2.037888,0.305087,0.022075227,0.03365831,1.4523883,0.0575143
2019-10-10 09:00:00,2.4701455,0.46886826,0.05687907,0.1448034,0.96077067,0.035127323
2019-10-10 12:00:00,2.2114,0.5048234,0.051522817,0.119511105,0.9880908,0.03231536
2019-10-10 15:00:00,2.5174,0.36711258,0.018203327,0.024660446,1.5277373,0.04727554
2019-10-10 18:00:00,2.7552555,0.2971231,0.03492903,0.032064334,1.5112292,0.06525917
2019-10-10 21:00:00,2.0572155,0.6464859,0.022470532,0.031357054,1.1134497,0.07658114
2019-10-11 00:00:00,2.554256,0.32260874,0.04546651,0.025852645,1.1143681,0.08309949
2019-10-11 03:00:00,2.507343,0.41032028,0.058659725,0.030529877,1.0542494,0.075101614
2019-10-11 06:00:00,2.2016804,0.18341547,0.0356365,0.023310259,0.9286403,0.07472196
2019-10-11 09:00:00,1.7576177,0.14494246,0.042755555,0.024799287,0.97438616,0.09398244
2019-10-11 12:00:00,2.3758285,0.16937774,0.028656846,0.020755418,1.0491203,0.064151235
2019-10-11 15:00:00,3.1397042,0.19617571,0.028271459,0.030002251,1.1987151,0.062919356
