time,a,b,c
2019-10-07 00:00:00,5.9173737,0.7740878,0.028492784
2019-10-07 03:00:00,6.2406044,0.6940291,0.033552784
2019-10-07 06:00:00,6.400871,0.69158477,0.036175244
2019-10-07 09:00:00,4.3590775,0.7373567,0.030744527
2019-10-07 12:00:00,3.0427845,0.45813334,0.057749514
2019-10-07 15:00:00,2.93904,0.41068855,0.06958127
2019-10-07 18:00:00,2.719782,0.30354857,0.6099155
2019-10-07 21:00:00,2.5820367,0.22370614,0.9282116
2019-10-08 00:00:00,2.113612,0.1831122,0.7882787
2019-10-08 03:00:00,2.0088594,0.16903783,0.91938406
2019-10-08 06:00:00,1.450397,0.19339539,1.0355922
2019-10-08 09:00:00,0.5413153,1.3112315,0.46971443
2019-10-08 12:00:00,0.53911924,1.749758,0.42325673
2019-10-08 15:00:00,1.1017346,1.3091701,0.5777115
2019-10-08 18:00:00,1.2675191,0.34991696,0.9938225
2019-10-08 21:00:00,1.1469721,0.45647365,0.7338252
2019-10-09 00:00:00,1.3356417,1.1045514,0.6515319
2019-10-09 03:00:00,1.524336,2.1922033,0.34744525
2019-10-09 06:00:00,1.4169185,1.7895563,0.19189474
2019-10-09 09:00:00,1.5194815,2.1349552,0.12451957
2019-10-09 12:00:00,1.7706226,2.3251605,0.077691786
2019-10-09 15:00:00,1.8235768,2.3132472,0.07730793
2019-10-09 18:00:00,1.6357932,2.0184073,0.16930915
2019-10-09 21:00:00,2.5226502,1.7461783,0.29087552
2019-10-10 00:00:00,2.2730277,1.834011,0.055217467
2019-10-10 03:00:00,2.41849,1.5127016,0.045171943
2019-10-10 06:00:00,2.1816025,1.6665885,0.060421146
2019-10-10 09:00:00,2.5860178,1.2720336,0.27854165
2019-10-10 12:00:00,2.3285058,1.3451915,0.23396617
2019-10-10 15:00:00,2.5800147,1.879832,0.042543158
2019-10-10 18:00:00,2.8271759,1.8135222,0.055162787
2019-10-10 21:00:00,1.901649,1.9987015,0.047209404
2019-10-11 00:00:00,2.4823534,1.6087701,0.05452807
2019-10-11 03:00:00,2.5161974,1.5515859,0.06841999
2019-10-11 06:00:00,2.3830588,1.0168613,0.047484603
2019-10-11 09:00:00,2.1325488,0.8491471,0.056788385
2019-10-11 12:00:00,2.6333783,1.0345818,0.039929472
2019-10-11 15:00:00,3.3589368,1.247459,0.049392477
2019-10-11 18:00:00,4.075748,1.319119,0.047582015
2019-10-11 21:00:00,3.372432,1.1356287,0.048844423
2019-10-12 00:00:00,2.745199,1.0799793,0.03901842
2019-10-12 03:00:00,2.8626933,1.0872031,0.043617345
2019-10-12 06:00:00,3.0106516,1.031432,0.05398962
2019-10-12 09:00:00,2.9726212,1.026097,0.062728256
2019-10-12 12:00:00,3.03566,0.9529971,0.038704805
2019-10-12 15:00:00,3.391832,1.0744318,0.041305587
2019-10-12 18:00:00,2.4662535,1.1975868,0.033552267
2019-10-12 21:00:00,3.2931585,1.524485,0.10103499
2019-10-13 00:00:00,3.6959486,0.68694186,0.1630533
2019-10-13 03:00:00,3.3014684,0.88669163,0.112067044
2019-10-13 06:00:00,2.8559391,1.0054148,0.117042676
2019-10-13 09:00:00,3.5496483,1.436006,0.06545286
2019-10-13 12:00:00,3.7357626,1.2481506,0.07814877
2019-10-13 15:00:00,2.597618,0.6318988,0.14596492
2019-10-13 18:00:00,2.542993,0.48293844,0.18891111
2019-10-13 21:00:00,2.611045,0.52071536,0.18543519
2019-10-14 00:00:00,2.7200346,0.5355926,0.17701124
2019-10-14 03:00:00,3.1680682,0.75728834,0.12134118
2019-10-14 06:00:00,2.3420842,0.63257456,0.12293034
2019-10-14 09:00:00,2.2836535,0.7452907,0.059297927
2019-10-14 12:00:00,3.1856306,0.7712078,0.052669838
2019-10-14 15:00:00,3.4473832,0.74545765,0.04199975
2019-10-14 18:00:00,3.568504,0.7745224,0.04698702
2019-10-14 21:00:00,4.1814513,0.8277762,0.0529849
2019-10-15 00:00:00,4.303698,0.889127,0.053067163
2019-10-15 03:00:00,4.626954,0.96664596,0.052851934
2019-10-15 06:00:00,5.1142406,1.0711287,0.04896215
2019-10-15 09:00:00,5.613293,1.0933825,0.047574814
2019-10-15 12:00:00,5.683788,1.0437518,0.050364565
2019-10-15 15:00:00,5.491867,1.0419225,0.05958689
2019-10-15 18:00:00,5.0489116,1.0651014,0.058015585
2019-10-15 21:00:00,5.677957,1.066656,0.055053588
2019-10-16 00:00:00,6.502021,1.0095941,0.05703518
2019-10-16 03:00:00,6.5426397,0.89300185,0.0722828
2019-10-16 06:00:00,7.2521205,0.7878058,0.080646165
2019-10-16 09:00:00,8.38771,0.69214803,0.087757334
2019-10-16 12:00:00,9.043438,0.6041272,0.09197742
2019-10-16 15:00:00,7.9891753,0.46005765,0.10453083
